Year,Yield,Scale,Type
1986,18.199,Global,Soybean
1987,19.052,Global,Soybean
1988,17.047,Global,Soybean
1989,18.288,Global,Soybean
1990,18.958,Global,Soybean
1991,18.725,Global,Soybean
1992,20.31,Global,Soybean
1993,19.361,Global,Soybean
1994,21.825,Global,Soybean
1995,20.312,Global,Soybean
1996,21.316,Global,Soybean
1997,21.565,Global,Soybean
1998,22.562,Global,Soybean
1999,21.901,Global,Soybean
2000,21.708,Global,Soybean
2001,23.061,Global,Soybean
2002,22.925,Global,Soybean
2003,22.796,Global,Soybean
2004,22.433,Global,Soybean
2005,23.175,Global,Soybean
2006,23.24,Global,Soybean
2007,24.37,Global,Soybean
2008,23.983,Global,Soybean
2009,22.481,Global,Soybean
2010,25.781,Global,Soybean
2011,25.197,Global,Soybean
2012,22.894,Global,Soybean
2013,24.999,Global,Soybean
2014,26.044,Global,Soybean
2015,26.757,Global,Soybean
2016,27.556,Global,Soybean
