Num,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
37,Panzhou,204462,196234,183832,196265,218036,232100,213400,160300,185600,294500,304600,302700,309500,322100,328400,337800,346838,355436,363323,325947,226148,312751,336900,354900,362536
38,Pingba,69481,72913,76432,83732,87428,90300,94700,100300,100300,102600,103200,64600,99600,102900,107700,108200,111161,113759,115845,117719,85537,101826,103097,106190,106439
39,Pingtang,86564,68006,82233,81331,85554,90700,95200,100500,77200,90600,95600,75300,92500,96700,102000,122400,116534,121604,128759,130867,84797,105981,104263,109037,110138
40,Pu'an,48515,41195,43557,50847,53074,56800,63300,80500,80800,83600,85000,78400,81300,84200,87200,91900,93431,95302,96388,85800,41706,64684,71110,83512,83842
41,Puding,90359,78757,86467,91784,94872,97800,102800,108100,110800,112900,115300,77600,111100,114200,117900,121500,123557,123796,127025,129073,86867,104394,98460,104845,98505
42,Bijie,,203159,229785,266204,293510,321200,345800,365200,387000,406700,380900,390500,328100,399400,409400,423500,416285,442848,448175,416348,337042,414101,388865,420254,431629
43,Qianxi,163322,145584,174547,187837,173604,222900,239700,280700,282600,288700,239600,263600,237100,295700,311100,316000,330653,354021,357861,322656,164033,273389,247838,270850,279689
44,Qingzhen,,85094,102590,104607,107014,112800,117700,140100,138900,129800,128800,105500,120400,123900,131200,127900,134093,136505,139201,133946,79028,88167,80969,87720,87850
45,Qinglong,48038,39538,44774,49576,51911,54200,57800,70100,73100,83800,79000,69700,82900,87200,88800,91800,92935,94624,96448,86890,48957,73169,79630,86300,86590
46,Renhuai,148282,141467,165861,193830,125741,241300,257200,276900,283500,280700,246100,250700,254400,267000,256200,220100,260495,274298,273936,246679,191522,214229,199100,227191,234449
47,Rongjiang,80017,78013,80027,74667,81662,83200,86700,94200,89300,93300,96800,93200,90300,96800,97700,98100,100303,101807,102227,101575,61359,76567,75007,81573,82505
48,Sandu,62874,51638,63542,66635,68962,71400,83200,91400,76200,81800,85300,66800,84000,90300,94000,97600,100508,106546,111865,114451,76447,89742,91626,97821,100030
49,Sansui,49133,35920,36345,41500,46815,49900,58500,59600,61000,62100,60700,51900,54000,57700,58300,59900,61771,64540,65597,65758,40060,49805,48846,53219,54003
50,Shibing,43879,44713,45338,46660,46982,50500,54700,56800,58500,59500,59900,49800,59100,61200,61300,61600,63319,63780,69288,69647,43918,54651,53269,56473,57275
51,Shimo,122524,122832,115040,129892,130419,141500,144100,155600,157600,157500,122200,130900,152100,175700,172900,176000,146707,189034,169647,170300,75151,115356,118497,129947,136524
